ProblemNo,Connection,Cost
0,19270 : 15 -> 16 ; 12214 : 1 -> 6 ; 12286 : 2 -> 3 ; 12214 : 12 -> 14 ; 22692 : 9 -> 10 ; 22683 : 5 -> 9,14
1,22683 : 22 -> 31 ; 19270 : 11 -> 21,19
2,22683 : 24 -> 31 ; 19270 : 11 -> 13,9
3,12285 : 4 -> 5 ; 12286 : 2 -> 3 ; 12214 : 12 -> 13,3
4,19270 : 31 -> 32,1
5,01401 : 5 -> 21 ; 12285 : 3 -> 5,18
6,12262 : 2 -> 3 ; 12285 : 3 -> 5 ; 12213 : 14 -> 19 ; 19270 : 16 -> 20,12
7,19270 : 17 -> 27,10
8,58832 : 4 -> 9,5
9,19270 : 13 -> 22,9
10,59385 : 47 -> 49 ; 14009 : 1 -> 5 ; 11045 : 20 -> 21 ; 11203 : 6 -> 7 ; 12293 : 4 -> 5 ; 12390 : 12 -> 13 ; 11046 : 8 -> 9 ; 12236 : 6 -> 7 ; 11033 : 25 -> 26 ; 11061 : 33 -> 34 ; 14005 : 11 -> 13,16
11,57305 : 38 -> 39 ; 17023 : 15 -> 16 ; 12649 : 3 -> 4 ; 12251 : 9 -> 10 ; 12437 : 2 -> 3 ; 22679 : 4 -> 5 ; 12441 : 8 -> 9 ; 12037 : 1 -> 2 ; 12421 : 15 -> 16 ; 12047 : 4 -> 5 ; 19023 : 88 -> 89,11
12,12084 : 3 -> 4 ; 06066 : 8 -> 10 ; 56101 : 4 -> 5,4
13,12392 : 15 -> 16 ; 11105 : 13 -> 15 ; 12329 : 7 -> 8 ; 12593 : 2 -> 3 ; 12286 : 2 -> 3 ; 12220 : 1 -> 2 ; 16571 : 16 -> 18 ; 17622 : 18 -> 19,10
14,14218 : 33 -> 34 ; 14209 : 7 -> 8 ; 12174 : 3 -> 4 ; 02112 : 1 -> 2 ; 12593 : 2 -> 3 ; 12286 : 2 -> 3 ; 12720 : 2 -> 4 ; 11206 : 1 -> 3 ; 17688 : 1 -> 2,11
15,12624 : 21 -> 22 ; 06066 : 14 -> 15 ; 12269 : 1 -> 2 ; 12293 : 4 -> 5 ; 12390 : 12 -> 13 ; 12502 : 6 -> 9 ; 22412 : 10 -> 11 ; 02509 : 15 -> 16 ; 12236 : 18 -> 19 ; 12067 : 1 -> 2 ; 15817 : 15 -> 18,15
16,12324 : 4 -> 5 ; 22812 : 2 -> 3 ; 12250 : 6 -> 7 ; 19607 : 8 -> 9 ; 12874 : 17 -> 18,5
17,16302 : 17 -> 18 ; 12625 : 10 -> 11 ; 22208 : 4 -> 6 ; 00852 : 2 -> 3 ; 12246 : 3 -> 5 ; 06336 : 37 -> 38 ; 12074 : 6 -> 7,9
18,11447 : 35 -> 36 ; 12302 : 9 -> 10 ; 02510 : 8 -> 9 ; 12262 : 2 -> 3 ; 12652 : 4 -> 5 ; 02853 : 5 -> 6 ; 12623 : 2 -> 3 ; 22205 : 2 -> 3 ; 11021 : 33 -> 35 ; 16734 : 38 -> 39 ; 14260 : 34 -> 36,13
19,14369 : 6 -> 7 ; 13346 : 4 -> 5 ; 12873 : 17 -> 18 ; 11093 : 25 -> 26 ; 12820 : 6 -> 8 ; 13511 : 1 -> 2,7
20,12214 : 3 -> 8 ; 22683 : 20 -> 31,96060
21,02511 : 6 -> 16,59340
22,19270 : 10 -> 21,42300
23,22683 : 19 -> 20 ; 12214 : 8 -> 9 ; 02511 : 4 -> 22,132000
24,02511 : 14 -> 16,13680
25,19270 : 3 -> 4,1260
26,58832 : 18 -> 21 ; 12214 : 9 -> 11 ; 22692 : 5 -> 6 ; 12214 : 12 -> 16 ; 22683 : 4 -> 11,69360
27,22683 : 24 -> 31 ; 19270 : 11 -> 16 ; 12214 : 1 -> 6 ; 22692 : 2 -> 4 ; 12214 : 9 -> 11 ; 22692 : 5 -> 6 ; 12214 : 12 -> 16,158640
28,01401 : 18 -> 21 ; 22683 : 18 -> 19,17700
29,19270 : 25 -> 32,38160
