Train No.,train Name,islno,station Code,Station Name,Arrival time,Departure time,Distance,Source Station Code,source Station Name,Destination station Code,Destination Station Name
'01401',NGP TTKL FARE S,1,SUR ,SOLAPUR JN     ,'00:00:00','15:20:00',0,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,2,MO  ,MOHOL          ,'15:49:00','15:50:00',34,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,3,MA  ,MADHA          ,'16:15:00','16:16:00',63,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,4,KWV ,KURDUVADI      ,'16:30:00','16:50:00',79,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,5,BTW ,BARSI TOWN     ,'17:35:00','17:37:00',116,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,6,UMD ,USMANABAD      ,'18:15:00','18:18:00',153,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,7,LUR ,LATUR          ,'19:50:00','20:00:00',232,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,8,LTRR,LATUR ROAD     ,'20:30:00','20:55:00',265,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,9,PRLI,PARLI VAIJNATH ,'22:40:00','23:05:00',328,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,10,PBN ,PARBHANI JN    ,'01:00:00','01:05:00',392,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,11,PAU ,PURNA JN       ,'01:35:00','01:45:00',420,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,12,HNL ,HINGOLI DECCAN ,'04:00:00','04:01:00',501,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,13,WHM ,WASHIM         ,'04:50:00','04:51:00',548,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,14,AK  ,AKOLA JN       ,'07:40:00','07:55:00',627,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,15,MZR ,MURTAJAPUR     ,'08:22:00','08:25:00',665,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,16,BD  ,BADNERA JN     ,'09:15:00','09:20:00',706,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,17,CND ,CHANDUR        ,'09:40:00','09:41:00',735,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,18,DMN ,DHAMANGAON     ,'09:54:00','09:56:00',752,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,19,PLO ,PULGAON JN     ,'10:10:00','10:11:00',772,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,20,WR  ,WARDHA JN      ,'10:42:00','10:45:00',802,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'01401',NGP TTKL FARE S,21,NGP ,NAGPUR         ,'12:35:00','00:00:00',880,SUR ,SOLAPUR JN     ,NGP ,NAGPUR         
'02511',KYQ KUMBH SPL  ,1,PUNE,PUNE JN        ,'00:00:00','10:30:00',0,PUNE,PUNE JN        ,KYQ ,KAMAKHYA       
'02511',KYQ KUMBH SPL  ,2,PNVL,PANVEL         ,'13:00:00','13:05:00',121,PUNE,PUNE JN        ,KYQ ,KAMAKHYA       
'02511',KYQ KUMBH SPL  ,3,NK  ,NASIK ROAD     ,'16:27:00','16:32:00',291,PUNE,PUNE JN        ,KYQ ,KAMAKHYA       
