ProblemNo,Connection,Cost
0,19270 : 22 -> 34,12
1,58832 : 7 -> 21 ; 12213 : 11 -> 12 ; 22683 : 20 -> 27,22
2,01401 : 3 -> 21,18
3,19270 : 31 -> 32,1
4,19270 : 29 -> 32,3
5,02511 : 24 -> 25,1
6,02511 : 19 -> 23,4
7,01401 : 17 -> 21 ; 12285 : 3 -> 5 ; 12213 : 14 -> 19 ; 19270 : 16 -> 32,27
8,58832 : 4 -> 21 ; 12285 : 3 -> 5 ; 12213 : 14 -> 19,24
9,02511 : 2 -> 4 ; 12285 : 3 -> 5 ; 12213 : 14 -> 19 ; 19270 : 16 -> 19,12
10,52973 : 20 -> 24 ; 12719 : 11 -> 12 ; 12879 : 6 -> 7 ; 12221 : 5 -> 6 ; 58111 : 56 -> 57 ; 58112 : 47 -> 48,9
11,51028 : 15 -> 16 ; 51027 : 13 -> 14 ; 11010 : 5 -> 6 ; 11006 : 36 -> 37 ; 12293 : 2 -> 3 ; 12141 : 6 -> 7 ; 11053 : 8 -> 9,7
12,53049 : 8 -> 12 ; 11447 : 42 -> 43 ; 02510 : 8 -> 9 ; 12262 : 2 -> 3 ; 12880 : 14 -> 15 ; 22894 : 12 -> 13 ; 12114 : 6 -> 7 ; 51402 : 16 -> 17,11
13,12083 : 3 -> 4 ; 06063 : 6 -> 7 ; 22206 : 2 -> 4 ; 12269 : 1 -> 3 ; 12066 : 1 -> 2 ; 12372 : 14 -> 15 ; 14001 : 1 -> 2,9
14,19222 : 2 -> 3 ; 11463 : 3 -> 4 ; 11087 : 2 -> 3 ; 11463 : 5 -> 6 ; 12949 : 4 -> 5 ; 11087 : 5 -> 6 ; 12905 : 5 -> 6 ; 19575 : 8 -> 9 ; 12268 : 1 -> 2 ; 22209 : 1 -> 2 ; 22806 : 1 -> 2 ; 02111 : 12 -> 13 ; 11015 : 41 -> 42 ; 13010 : 24 -> 25,14
15,59393 : 21 -> 22 ; 12961 : 17 -> 18 ; 12719 : 8 -> 9 ; 12171 : 5 -> 6 ; 12441 : 8 -> 9 ; 12037 : 1 -> 2 ; 12421 : 15 -> 16 ; 12047 : 4 -> 6 ; 14625 : 13 -> 14 ; 14731 : 25 -> 27,12
16,57305 : 25 -> 30 ; 12798 : 19 -> 20 ; 12193 : 9 -> 10 ; 12251 : 9 -> 10 ; 12513 : 2 -> 3 ; 02853 : 5 -> 8 ; 12218 : 17 -> 18,13
17,02509 : 2 -> 3 ; 12269 : 1 -> 2 ; 12103 : 8 -> 9 ; 12630 : 3 -> 4,4
18,18006 : 6 -> 7 ; 12836 : 18 -> 19 ; 08302 : 22 -> 23 ; 12146 : 14 -> 15 ; 22827 : 11 -> 12 ; 22866 : 12 -> 13 ; 22679 : 4 -> 5 ; 12441 : 8 -> 9 ; 12952 : 1 -> 2 ; 13423 : 13 -> 14 ; 19653 : 14 -> 15,11
19,03235 : 5 -> 6 ; 13430 : 21 -> 23 ; 12344 : 9 -> 10 ; 12508 : 15 -> 16 ; 02510 : 8 -> 9 ; 12262 : 2 -> 3 ; 12652 : 4 -> 5 ; 02853 : 5 -> 8,11
20,19270 : 32 -> 34,11340
21,22683 : 6 -> 13 ; 12213 : 9 -> 12 ; 22683 : 20 -> 21,57780
22,19270 : 3 -> 16 ; 12214 : 1 -> 8 ; 22683 : 20 -> 21,109740
23,22683 : 27 -> 31 ; 19270 : 11 -> 16 ; 12214 : 1 -> 8 ; 22683 : 20 -> 24,104160
24,22683 : 9 -> 13 ; 12213 : 9 -> 11 ; 02511 : 4 -> 10,75720
25,19270 : 8 -> 23,67680
26,22683 : 23 -> 31,45360
27,22692 : 1 -> 4 ; 02511 : 4 -> 24,168660
28,12213 : 15 -> 19 ; 19270 : 16 -> 34,103320
29,02511 : 10 -> 15,22260
30,12858 : 7 -> 8 ; 12323 : 1 -> 2 ; 12353 : 2 -> 3 ; 12175 : 2 -> 3 ; 12313 : 3 -> 4 ; 12371 : 3 -> 4 ; 18620 : 10 -> 11 ; 12321 : 8 -> 9 ; 12802 : 17 -> 18 ; 11448 : 11 -> 15,15360
31,59385 : 18 -> 19 ; 12061 : 2 -> 3 ; 11207 : 8 -> 9 ; 12188 : 12 -> 13 ; 12159 : 16 -> 17 ; 22187 : 6 -> 7 ; 01711 : 13 -> 14 ; 01655 : 12 -> 13 ; 11265 : 1 -> 2 ; 15017 : 36 -> 37 ; 13202 : 37 -> 39 ; 11033 : 14 -> 15 ; 12536 : 8 -> 9 ; 11033 : 16 -> 17 ; 22806 : 3 -> 4 ; 12368 : 2 -> 3 ; 15484 : 29 -> 30 ; 12304 : 14 -> 15 ; 12570 : 13 -> 14 ; 12578 : 36 -> 37 ; 12502 : 8 -> 10 ; 13164 : 14 -> 15 ; 12364 : 5 -> 6 ; 13164 : 19 -> 21 ; 53004 : 10 -> 11,51060
32,12884 : 7 -> 10 ; 22876 : 11 -> 12 ; 12816 : 21 -> 22 ; 12282 : 5 -> 7 ; 18409 : 16 -> 17 ; 18415 : 26 -> 27 ; 12254 : 15 -> 16 ; 22853 : 10 -> 11 ; 18515 : 20 -> 21 ; 02510 : 13 -> 14 ; 12889 : 12 -> 13 ; 12254 : 19 -> 20 ; 12245 : 4 -> 5 ; 12516 : 32 -> 33 ; 12389 : 16 -> 17 ; 17651 : 2 -> 3 ; 12657 : 2 -> 3 ; 22619 : 15 -> 16 ; 22207 : 2 -> 3 ; 16561 : 4 -> 5 ; 17235 : 6 -> 8 ; 16353 : 21 -> 22 ; 16537 : 7 -> 8 ; 12635 : 10 -> 11 ; 12637 : 13 -> 14 ; 12693 : 14 -> 15 ; 16236 : 26 -> 28 ; 22627 : 4 -> 5 ; 06063 : 11 -> 12 ; 12642 : 23 -> 24 ; 16537 : 12 -> 13 ; 16861 : 20 -> 21 ; 16127 : 23 -> 24,64980
33,58014 : 3 -> 4 ; 11448 : 11 -> 13 ; 13025 : 5 -> 7 ; 18101 : 5 -> 6 ; 12873 : 7 -> 9 ; 13025 : 9 -> 10,14280
34,05968 : 8 -> 10 ; 15604 : 14 -> 18 ; 12068 : 2 -> 3 ; 15903 : 5 -> 6 ; 12423 : 4 -> 5 ; 15933 : 7 -> 8 ; 15670 : 3 -> 4 ; 12068 : 9 -> 11 ; 14055 : 18 -> 19 ; 12346 : 2 -> 3 ; 02510 : 2 -> 3 ; 12501 : 3 -> 5 ; 13281 : 19 -> 20 ; 15483 : 5 -> 6 ; 13150 : 6 -> 7 ; 12501 : 7 -> 8 ; 13164 : 14 -> 15 ; 12364 : 5 -> 6 ; 15228 : 7 -> 8 ; 15930 : 28 -> 29 ; 13148 : 14 -> 15 ; 13012 : 7 -> 8 ; 12346 : 11 -> 12 ; 12042 : 6 -> 7 ; 22214 : 3 -> 4 ; 22201 : 4 -> 5 ; 12254 : 15 -> 16 ; 22853 : 10 -> 11 ; 18515 : 20 -> 21 ; 02510 : 13 -> 14 ; 12889 : 12 -> 13 ; 12254 : 19 -> 20 ; 12245 : 4 -> 5 ; 12516 : 32 -> 33 ; 12389 : 16 -> 17 ; 17651 : 2 -> 3 ; 12657 : 2 -> 3 ; 18568 : 21 -> 22 ; 12626 : 17 -> 18 ; 56214 : 1 -> 4,98640
